id,tag
1,classic rock
2,Progressive rock
3,blues
5,pop
6,70s
10,instrumental
16,experimental
34,beautiful
37,female vocalist
38,indie
39,ambient
40,chillout
41,chill
42,Hip-Hop
45,90s
58,funk
69,party
70,female vocalists
75,80s
86,dance
92,heavy metal
95,rock
96,alternative
97,indie rock
136,electro
138,electronic
147,easy listening
148,fun
151,catchy
158,soul
201,punk
238,Love
269,singer-songwriter
322,00s
324,male vocalists
347,jazz
379,folk
380,Mellow
382,acoustic
481,electronica
527,country
545,sexy
595,favourite
648,alternative rock
730,oldies
734,60s
764,american
914,metal
916,hard rock
1177,guitar
